PlanetId	NaturalId	Name	NamerId	NamerUserName	NamedTimestamp	Nameable	Gravity	MagneticField	Mass	MassEarth	SemiMajorAxis	Eccentricity	Inclination	RightAscension	Periapsis	OrbitIndex	Pressure	Radiation	Radius	Sunlight	Temperature	Fertility	Surface	Plots	CountryId	CountryName	CountryCode	GoverningEntity	CurrencyNumericCode	CurrencyCode	CurrencyName	CollectionCurrencyNumericCode	CollectionCurrencyCode	CollectionCurrencyName	LocalMarketFeeBase	LocalMarketTimeFactor	EstablishmentFee	WarehouseFee	PopulationId	ChamberOfCommerceId	WarehouseId	LocalMarketId	AdministrationCenterId	ShipyardId	SupportsGhostSites	CurrentCOGCProgram	CurrentCOGCProgramEndTime	Timestamp	Resources	WorkforceFees	COGCPrograms	PopulationReports	CelestialBodies	HasShipyard	HasAdministrationCenter	HasChamberOfCommerce	HasWarehouse	HasLocalMarket	Rocky	Gaseous	LowGravity	HighGravity	LowPressure	HighPressure	LowTemperature	HighTemperature	Fertile	EntityId	EntityName	EntityFriendlyIdentifier
00171bb9705e059dbf6a62188706127f	YW-310e	YW-310e				True	0.79779553	0.4766799	7.009105353421889e+25	11.73661311691542	275177130000	0.035609329211579	-0.0560710939026523	0	0	5	1.9778774	1.3593324e-26	24451928	0.79498273	-217.54306	-1	False	472				67e6e85a9e7cfffd6a8330f641ad4315	2	CIS	Sol	2	CIS	Sol	0	0	0	0	e5fd9df9f9f97d3167029f58e6eb1916						False		0001-01-01T00:00:00	2026-07-06T14:46:27.92162Z	[{"MaterialId":"bcf4a2029e461cf76d29de8c66ec2ff9","Type":"MINERAL","Concentration":0.03104692429922501}]	[]	[]	[]	[]	False	False	False	False	False	False	True	False	False	False	False	True	False	False	00171bb9705e059dbf6a62188706127f	YW-310e	YW-310e
0031e21f1145baf25326072bbfd82520	BN-386a	BN-386a				True	0.5358525	0.00072276086	6.386032556697551e+24	1.0693289612688464	40054631000	0.04074974965927627	-0.054733682368465646	0	0	0	2.8111867e-06	2.0267018e-22	9005764	6207.3076	110.94016	-1	True	457				25c9053b4828624d814897119beee7a0	5	ICA	Austral	5	ICA	Austral	0	0	0	0	9ebf4b84a4a28394a3da7c23ce7aded0						False		0001-01-01T00:00:00	2026-07-06T20:20:17.354738Z	[{"MaterialId":"ec8dbb1d3f51d89c61b6f58fdd64a7f0","Type":"GASEOUS","Concentration":0.031029551761683774}]	[]	[]	[]	[]	False	False	False	False	False	True	False	False	False	True	False	False	True	False	0031e21f1145baf25326072bbfd82520	BN-386a	BN-386a
004234201296502d6033ca62f9c654fa	YI-552a	YI-552a				True	1.4237093	0.90245694	1.1006140992835242e+25	1.8429572995370465	32223750000	0.01876486793544041	-0.014178323630649328	0	0	1	54.018467	1.9169917e-25	7253281	60.14829	-144.32945	-1	True	409				4b9523cbb80f2903e2b72c838a02e9c7	4	NCC	NCE Coupons	4	NCC	NCE Coupons	0	0	10000	0	d0d6bec39f718581fddf891139b633ce	cf052fa63eb46ad0750177ce015a3528	d18d1a7c3ac5a6174e83758c3c095f66	3c51f9b4c947198d641255fc2a60fca7	4b9523cbb80f2903e2b72c838a02e9c7		False		0001-01-01T00:00:00	2026-07-06T18:55:06.160529Z	[{"MaterialId":"eeff5ee913d34354be84177847fbfe48","Type":"MINERAL","Concentration":0.4241866842221801},{"MaterialId":"e9dc6ec89adb62b9ef83031d89e3ce99","Type":"GASEOUS","Concentration":0.057534014017593844},{"MaterialId":"e97bde9e60d4c60a16205d2c859eda62","Type":"MINERAL","Concentration":0.46758410892495583}]	[]	[]	[]	[]	False	True	True	True	True	True	False	False	False	False	True	True	False	False	004234201296502d6033ca62f9c654fa	YI-552a	YI-552a
0043bc735e48a8a36c53961f51423fd0	XD-311d	XD-311d				True	0.67522144	0.6036745	7.111622937482633e+24	1.1908276854458528	393021863000	0.03761389156533123	0.01554431561468016	0	0	3	9.84996	1.07427796e-23	8466207	829.591	5.7628417	-1	True	442				501bf6979da1e847be72a584c617bdd2	4	NCC	NCE Coupons	4	NCC	NCE Coupons	0	0	0	0	10f7eaee7455c0f9e31a9a833633d397	6a715d549d86e7771225429be2b2b1f0	faf12678ebc92ff9e106a646e3305e86		501bf6979da1e847be72a584c617bdd2		False		0001-01-01T00:00:00	2026-07-06T03:53:51.295058Z	[{"MaterialId":"e97bde9e60d4c60a16205d2c859eda62","Type":"MINERAL","Concentration":0.5927832864907858}]	[]	[]	[]	[]	False	True	True	True	False	True	False	False	False	False	True	False	False	False	0043bc735e48a8a36c53961f51423fd0	XD-311d	XD-311d
0045a044aa3f7e4334f42d846fdddf9f	HV-594a	HV-594a				True	0.6249683	0.35103557	2.7040709539378763e+24	0.4527915194135761	45939855000	0.0026263946304295217	-0.00012869792027677096	0	0	0	0.5474338	9.1406436e-23	5426348.5	4310.7744	84.0597	-1	True	358				22fdfc0c1ac7638957094ffefeff6a3f	5	ICA	Austral	5	ICA	Austral	0	0	0	0	10da8c8d42f2ab796f157eed503215cb						False		0001-01-01T00:00:00	2026-07-04T05:08:40.136291Z	[{"MaterialId":"e97bde9e60d4c60a16205d2c859eda62","Type":"MINERAL","Concentration":0.466332229170681},{"MaterialId":"bcf4a2029e461cf76d29de8c66ec2ff9","Type":"GASEOUS","Concentration":0.11887935609627803}]	[]	[]	[]	[]	False	False	False	False	False	True	False	False	False	False	False	False	True	False	0045a044aa3f7e4334f42d846fdddf9f	HV-594a	HV-594a
00467645cde396b142489013a78ef746	XU-499f	XU-499f				True	2.250026	0.50632954	9.774701006340675e+26	163.67550245044666	1221966661000	0.04495013698498099	-0.01750363347533318	0	0	6	0.8223385	9.6297255e-26	54373288	5.9700255	-163.91614	-1	False	621				6d40a6d64cefdd2b297cdb544169f138	4	NCC	NCE Coupons	4	NCC	NCE Coupons	0	0	0	0	24f64f645b32f63502faf5e11d7d6cee						False		0001-01-01T00:00:00	2026-06-24T08:25:05.141116Z	[{"MaterialId":"6e16dbf050b98d9c4fc9c615b3367a0f","Type":"GASEOUS","Concentration":0.0975702118805253}]	[]	[]	[]	[]	False	False	False	False	False	False	True	False	False	False	False	True	False	False	00467645cde396b142489013a78ef746	XU-499f	XU-499f
0070f8cd843f8135f17729e06418771b	NH-613f	NH-613f				True	1.0628735	0.21617398	8.56138823154983e+25	14.335881164684912	842370661000	0.03279340328470077	0.007771330047988911	0	0	5	0.90134925	1.0859001e-24	23413100	42.400364	-153.60101	-1	False	467				80b5387d35123ecf0671ac54926d9a1a	4	NCC	NCE Coupons	4	NCC	NCE Coupons	0	0	0	0	3a9dec196e04dd97d7de9df9e0178102						False		0001-01-01T00:00:00	2026-06-30T09:04:37.98794Z	[{"MaterialId":"bcf4a2029e461cf76d29de8c66ec2ff9","Type":"MINERAL","Concentration":0.3714750559551925},{"MaterialId":"4e10b93baa6166496b204e0531347959","Type":"GASEOUS","Concentration":0.18365068975549817}]	[]	[]	[]	[]	False	False	False	False	False	False	True	False	False	False	False	True	False	False	0070f8cd843f8135f17729e06418771b	NH-613f	NH-613f
0077cb83d2e40217287477f540ae40cf	BN-886g	BN-886g				True	1.604458	0.46514255	9.885704099142322e+26	165.5342280499384	2016360896000	0.012335761101579114	0.044664813747297034	0	0	6	1.3849947	5.84287e-25	64754096	33.43394	-128.25726	-1	False	673				70df35b2e191d67bb7e22d730b5e8db1	5	ICA	Austral	5	ICA	Austral	0	0	0	0	748e358af3cd55df7088c87c50bb36c2						False		0001-01-01T00:00:00	2026-06-25T22:33:14.559886Z	[{"MaterialId":"4e10b93baa6166496b204e0531347959","Type":"GASEOUS","Concentration":0.1861488948844391}]	[]	[]	[]	[]	False	False	False	False	False	False	True	False	False	False	False	True	False	False	0077cb83d2e40217287477f540ae40cf	BN-886g	BN-886g
00901a5b3938caef2d613b9485a02d4d	ZV-639e	ZV-639e				True	2.584387	0.79272914	1.7626576841554227e+27	295.15366446005066	2642754277000	0.03521122979360453	-0.05532420029690796	0	0	7	0.9742738	2.9170813e-26	68129128	4.307345	-168.10039	-1	False	690	18419e6fd11b5af8bf0d0a996ad1a622	Antares Initiative	AI	bace0ed02b6e6258bae945f8b48aee1f	1	AIC	Martian Coin	1	AIC	Martian Coin	25	5	0	80	5ed20b7265ef0d68b8d2ee50bde2ca30	7b07dac7fdf01b9fe8c908c388c108c5	dd6bd4134d195836c22c3297cfdfae2f	0bd37d0c2ae58b025ffe1fccf01a5627	bace0ed02b6e6258bae945f8b48aee1f		False		0001-01-01T00:00:00	2026-07-06T21:56:06.294933Z	[{"MaterialId":"e9dc6ec89adb62b9ef83031d89e3ce99","Type":"GASEOUS","Concentration":0.2734907208004898},{"MaterialId":"bcf4a2029e461cf76d29de8c66ec2ff9","Type":"MINERAL","Concentration":0.38934019080995014}]	[]	[]	[]	[]	False	True	True	True	True	False	True	False	True	False	False	True	False	False	00901a5b3938caef2d613b9485a02d4d	ZV-639e	ZV-639e
00962545c21ad645dcdddc15ee7f9475	RY-780e	RY-780e				True	1.22401	0.083036266	1.9383649616926743e+25	3.245755126745938	380825568000	0.04497392369973164	-0.008296329817768391	0	0	4	0.6108302	1.921959e-24	10381328	64.14922	-160.81409	-1	True	495				7d95a4de6ea645c902cb6d985fe91778	4	NCC	NCE Coupons	4	NCC	NCE Coupons	0	0	0	0	093a09accdf40da7bf6996a3e8c5b386						False		0001-01-01T00:00:00	2026-06-30T02:23:34.901083Z	[{"MaterialId":"e9dc6ec89adb62b9ef83031d89e3ce99","Type":"GASEOUS","Concentration":0.022325246160560062},{"MaterialId":"bcf4a2029e461cf76d29de8c66ec2ff9","Type":"MINERAL","Concentration":0.03531268707343537}]	[]	[]	[]	[]	False	False	False	False	False	True	False	False	False	False	False	True	False	False	00962545c21ad645dcdddc15ee7f9475	RY-780e	RY-780e
