LOOKUP TABLE BUILD — 12-selection -> operatingEmptyMass
======================================================================
Blueprints: 87   distinct 12-selection combos: 61
Key field order: engine | stlTank | reactor | ftlTank | cargo | hull | heat | whipple | stability | radiation | drone | seats
Key format: ticker per field, or NONE. e.g. ENG|MSL|RCT|SFL|LCB|RHP|NONE|NONE|STS|NONE|RDS|BGS

OEM collisions (same 12-key -> different operatingEmptyMass): 0
  none — every distinct 12-combo maps to a single operatingEmptyMass. Lookup is well-defined.

All 61 combos (key | OEM | #blueprints | representative | totalVolume):
     587.8  x 1  BP-FPCF-6431   V=   963  ENG|SSL|RCT|SFL|SCB|LHP|NONE|NONE|NONE|NONE|NONE|NONE
     630.0  x 1  BP-WANU-1257   V=   543  ENG|SSL|RCT|SFL|TCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     655.5  x 1  BP-EGVM-6823   V=  1095  ENG|MSL|RCT|MFL|SCB|LHP|NONE|NONE|NONE|NONE|NONE|NONE
     667.5  x 1  BP-LVAW-3661   V=   834  ENG|SSL|NONE|NONE|SCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     676.5  x 1  BP-ZWNU-4008   V=   837  ENG|SSL|NONE|SFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     707.1  x 1  BP-UVUA-6284   V=   701  ENG|SSL|RCT|SFL|VSC|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     824.8  x 2  BP-GCFD-1072   V=   962  GEN|SSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     825.8  x 2  BP-CXVC-4221   V=   962  FSE|SSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     827.8  x16  BP-RWDC-2551   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     827.9  x 1  BP-BTJI-6635   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|NONE|NONE|STS|NONE|NONE|NONE
     828.8  x 1  BP-QNLF-0141   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|BPT|NONE|NONE|NONE|NONE|NONE
     829.2  x 1  BP-NVBH-4203   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|BRP|NONE|NONE
     829.2  x 1  BP-VYYQ-3022   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|APT|NONE|NONE|NONE|NONE|NONE
     829.7  x 1  BP-MKMN-8547   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|ARP|NONE|NONE
     832.6  x 1  BP-VKJR-5302   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|SRP|NONE|NONE
     832.6  x 1  BP-ILEC-5060   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|NONE|BWH|NONE|NONE|NONE|NONE
     833.6  x 1  BP-CFYJ-5156   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|NONE|AWH|NONE|NONE|NONE|NONE
     833.8  x 2  BP-BJKP-8817   V=   966  AEN|SSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     835.8  x 1  BP-XURB-5377   V=   970  ENG|SSL|QCR|SFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     836.8  x 2  BP-OCTM-8557   V=   970  HTE|SSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     843.8  x 1  BP-HIWJ-4476   V=   969  ENG|SSL|RCT|MFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     847.8  x 1  BP-OWTS-7141   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|BGS
     857.8  x 1  BP-JNZB-4277   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|AGS
     875.8  x 1  BP-ZYRW-4882   V=   963  ENG|SSL|RCT|SFL|SCB|AHP|NONE|NONE|NONE|NONE|NONE|NONE
     875.8  x 2  BP-JKZU-8825   V=   963  ENG|SSL|RCT|SFL|SCB|HHP|NONE|NONE|NONE|NONE|NONE|NONE
     875.8  x 1  BP-BUCN-5374   V=   963  ENG|SSL|RCT|SFL|SCB|RHP|NONE|NONE|NONE|NONE|NONE|NONE
     877.8  x 1  BP-QTAW-2541   V=   963  ENG|SSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|NONE|RDS|NONE
     879.8  x 1  BP-GKUH-6184   V=   981  ENG|SSL|RCT|LFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
     899.5  x 1  BP-NXEY-5602   V=  1089  ENG|MSL|RCT|SFL|SCB|BHP|NONE|NONE|NONE|NONE|NONE|NONE
